SUCCESS : 908
01204483 : {"actual":"/vol/34/issue/81","expected":"/vol/34/issue/81"}
18888992 : {"actual":"/vol/9/issue/2","expected":"/vol/9/issue/2"}
02786222 : {"actual":"/vol/9/issue/4","expected":"/vol/9/issue/4"}
08959811 : {"actual":"/vol/74/suppl/C","expected":"/vol/74/suppl/C"}
23525789 : {"actual":"/vol/19/suppl/C","expected":"/vol/19/suppl/C"}
08709025 : {"actual":"/vol/34/issue/3","expected":"/vol/34/issue/3"}
18705766 : {"actual":"/vol/11/issue/2","expected":"/vol/11/issue/2"}
0340904X : {"actual":"/vol/156/issue/3","expected":"/vol/156/issue/3"}
15587673 : {"actual":"/vol/14/issue/6","expected":"/vol/14/issue/6"}
00144908 : {"actual":"/vol/18/issue/9","expected":"/vol/18/issue/9"}
15260542 : {"actual":"/vol/20/suppl/C","expected":"/vol/20/suppl/C"}
22145141 : {"actual":"/vol/4/issue/6","expected":"/vol/4/issue/6"}
18760341 : {"actual":"/vol/10/issue/1","expected":"/vol/10/issue/1"}
13877003 : {"actual":"/vol/76/suppl/C","expected":"/vol/76/suppl/C"}
13596128 : {"actual":"/vol/2016/issue/12","expected":"/vol/2016/issue/12"}
00344877 : {"actual":"/vol/78/issue/2","expected":"/vol/78/issue/2"}
00426822 : {"actual":"/vol/503/suppl/C","expected":"/vol/503/suppl/C"}
07494041 : {"actual":"/vol/2016/suppl/C","expected":"/vol/2016/suppl/C"}
00843741 : {"actual":"/vol/2014/suppl/C","expected":"/vol/2014/suppl/C"}
22120122 : {"actual":"/vol/7/suppl/C","expected":"/vol/7/suppl/C"}
24519944 : {"actual":"/vol/3/suppl/C","expected":"/vol/3/suppl/C"}
23520779 : {"actual":"/vol/4/issue/1","expected":"/vol/4/issue/1"}
02218747 : {"actual":"/vol/5/issue/6","expected":"/vol/5/issue/6"}
24680257 : {"actual":"/vol/1/issue/2","expected":"/vol/1/issue/2"}
01853082 : {"actual":"/vol/36/issue/2","expected":"/vol/36/issue/2"}
22112669 : {"actual":"/vol/5/issue/2","expected":"/vol/5/issue/2"}
21735786 : {"actual":"/vol/41/issue/1","expected":"/vol/41/issue/1"}
02648377 : {"actual":"/vol/62/suppl/C","expected":"/vol/62/suppl/C"}
09230467 : {"actual":"/vol/65/issue/1","expected":"/vol/65/issue/1"}
18763820 : {"actual":"/vol/8/issue/6","expected":"/vol/8/issue/6"}
15249042 : {"actual":"/vol/17/issue/6","expected":"/vol/17/issue/6"}
00039365 : {"actual":"/vol/148/issue/4","expected":"/vol/148/issue/4"}
1871403X : {"actual":"/vol/10/issue/6","expected":"/vol/10/issue/6"}
08404704 : {"actual":"/vol/27/issue/4","expected":"/vol/27/issue/4"}
22124292 : {"actual":"/vol/17/suppl/C","expected":"/vol/17/suppl/C"}
08830355 : {"actual":"/vol/81/suppl/C","expected":"/vol/81/suppl/C"}
02621746 : {"actual":"/vol/30/issue/2","expected":"/vol/30/issue/2"}
23520477 : {"actual":"/vol/3/suppl/C","expected":"/vol/3/suppl/C"}
24682039 : {"actual":"/vol/26/issue/6","expected":"/vol/26/issue/6"}
02637863 : {"actual":"/vol/35/issue/2","expected":"/vol/35/issue/2"}
00167169 : {"actual":"/vol/54/issue/3","expected":"/vol/54/issue/3"}
21735743 : {"actual":"/vol/12/issue/6","expected":"/vol/12/issue/6"}
05135117 : {"actual":"/vol/2013/suppl/C","expected":"/vol/2013/suppl/C"}
08883270 : {"actual":"/vol/91/suppl/C","expected":"/vol/91/suppl/C"}
07219571 : {"actual":"/vol/3/issue/4","expected":"/vol/3/issue/4"}
15257304 : {"actual":"/vol/17/issue/6","expected":"/vol/17/issue/6"}
02321513 : {"actual":"/vol/43/issue/3","expected":"/vol/43/issue/3"}
00128252 : {"actual":"/vol/165/suppl/C","expected":"/vol/165/suppl/C"}
19957645 : {"actual":"/vol/9/issue/12","expected":"/vol/9/issue/12"}
01434179 : {"actual":"/vol/60/suppl/C","expected":"/vol/60/suppl/C"}
12623636 : {"actual":"/vol/42/issue/6","expected":"/vol/42/issue/6"}
00063223 : {"actual":"/vol/81/issue/3","expected":"/vol/81/issue/3"}
09473580 : {"actual":"/vol/32/suppl/C","expected":"/vol/32/suppl/C"}
14615347 : {"actual":"/vol/3/issue/12","expected":"/vol/3/issue/12"}
09503528 : {"actual":"/vol/12/issue/4","expected":"/vol/12/issue/4"}
1405888X : {"actual":"/vol/20/issue/1","expected":"/vol/20/issue/1"}
01638343 : {"actual":"/vol/45/suppl/C","expected":"/vol/45/suppl/C"}
01217372 : {"actual":"/vol/25/issue/3","expected":"/vol/25/issue/3"}
02661144 : {"actual":"/vol/45/issue/1","expected":"/vol/45/issue/1"}
23520132 : {"actual":"/vol/3/issue/4","expected":"/vol/3/issue/4"}
17238617 : {"actual":"/vol/11/issue/2","expected":"/vol/11/issue/2"}
18786529 : {"actual":"/vol/7/issue/4","expected":"/vol/7/issue/4"}
21735735 : {"actual":"/vol/67/issue/6","expected":"/vol/67/issue/6"}
21522650 : {"actual":"/vol/16/issue/12","expected":"/vol/16/issue/12"}
10586741 : {"actual":"/vol/4/issue/3","expected":"/vol/4/issue/3"}
01655817 : {"actual":"/vol/51/issue/4","expected":"/vol/51/issue/4"}
